Phi[deg],Theta[deg],GainTotal
-180,0,7.24312
-178,0,7.24312
-176,0,7.24312
-174,0,7.24312
-172,0,7.24312
-170,0,7.24312
-168,0,7.24312
-166,0,7.24312
-164,0,7.24312
-162,0,7.24312
-160,0,7.24312
-158,0,7.24312
-156,0,7.24312
-154,0,7.24312
-152,0,7.24312
-150,0,7.24312
-148,0,7.24312
-146,0,7.24312
-144,0,7.24312
-142,0,7.24312
-140,0,7.24312
-138,0,7.24312
-136,0,7.24312
-134,0,7.24312
-132,0,7.24312
-130,0,7.24312
-128,0,7.24312
-126,0,7.24312
-124,0,7.24312
-122,0,7.24312
-120,0,7.24312
-118,0,7.24312
-116,0,7.24312
-114,0,7.24312
-112,0,7.24312
-110,0,7.24312
-108,0,7.24312
-106,0,7.24312
-104,0,7.24312
-102,0,7.24312
-100,0,7.24312
-98,0,7.24312
-96,0,7.24312
-94,0,7.24312
-92,0,7.24312
-90,0,7.24312
-88,0,7.24312
-86,0,7.24312
-84,0,7.24312
-82,0,7.24312
-80,0,7.24312
-78,0,7.24312
-76,0,7.24312
-74,0,7.24312
-72,0,7.24312
-70,0,7.24312
-68,0,7.24312
-66,0,7.24312
-64,0,7.24312
-62,0,7.24312
-60,0,7.24312
-58,0,7.24312
-56,0,7.24312
-54,0,7.24312
-52,0,7.24312
-50,0,7.24312
-48,0,7.24312
-46,0,7.24312
-44,0,7.24312
-42,0,7.24312
-40,0,7.24312
-38,0,7.24312
-36,0,7.24312
-34,0,7.24312
-32,0,7.24312
-30,0,7.24312
-28,0,7.24312
-26,0,7.24312
-24,0,7.24312
-22,0,7.24312
-20,0,7.24312
-18,0,7.24312
-16,0,7.24312
-14,0,7.24312
-12,0,7.24312
-10,0,7.24312
-8,0,7.24312
-6,0,7.24312
-4,0,7.24312
-2,0,7.24312
0,0,7.24312
2,0,7.24312
4,0,7.24312
6,0,7.24312
8,0,7.24312
10,0,7.24312
12,0,7.24312
14,0,7.24312
16,0,7.24312
18,0,7.24312
20,0,7.24312
22,0,7.24312
24,0,7.24312
26,0,7.24312
28,0,7.24312
30,0,7.24312
32,0,7.24312
34,0,7.24312
36,0,7.24312
38,0,7.24312
40,0,7.24312
42,0,7.24312
44,0,7.24312
46,0,7.24312
48,0,7.24312
50,0,7.24312
52,0,7.24312
54,0,7.24312
56,0,7.24312
58,0,7.24312
60,0,7.24312
62,0,7.24312
64,0,7.24312
66,0,7.24312
68,0,7.24312
70,0,7.24312
72,0,7.24312
74,0,7.24312
76,0,7.24312
78,0,7.24312
80,0,7.24312
82,0,7.24312
84,0,7.24312
86,0,7.24312
88,0,7.24312
90,0,7.24312
92,0,7.24312
94,0,7.24312
96,0,7.24312
98,0,7.24312
100,0,7.24312
102,0,7.24312
104,0,7.24312
106,0,7.24312
108,0,7.24312
110,0,7.24312
112,0,7.24312
114,0,7.24312
116,0,7.24312
118,0,7.24312
120,0,7.24312
122,0,7.24312
124,0,7.24312
126,0,7.24312
128,0,7.24312
130,0,7.24312
132,0,7.24312
134,0,7.24312
136,0,7.24312
138,0,7.24312
140,0,7.24312
142,0,7.24312
144,0,7.24312
146,0,7.24312
148,0,7.24312
150,0,7.24312
152,0,7.24312
154,0,7.24312
156,0,7.24312
158,0,7.24312
160,0,7.24312
162,0,7.24312
164,0,7.24312
166,0,7.24312
168,0,7.24312
170,0,7.24312
172,0,7.24312
174,0,7.24312
176,0,7.24312
178,0,7.24312
180,0,7.24312
-180,2,7.22481
-178,2,7.22705
-176,2,7.22929
-174,2,7.23154
-172,2,7.23379
-170,2,7.23603
-168,2,7.23827
-166,2,7.24051
-164,2,7.24273
-162,2,7.24495
-160,2,7.24714
-158,2,7.24932
-156,2,7.25148
-154,2,7.25361
-152,2,7.25571
-150,2,7.25779
-148,2,7.25984
-146,2,7.26185
-144,2,7.26382
-142,2,7.26576
-140,2,7.26765
-138,2,7.2695
-136,2,7.2713
-134,2,7.27306
-132,2,7.27476
-130,2,7.27641
-128,2,7.27801
-126,2,7.27955
-124,2,7.28103
-122,2,7.28246
-120,2,7.28382
-118,2,7.28512
-116,2,7.28635
-114,2,7.28752
-112,2,7.28862
-110,2,7.28965
-108,2,7.29061
-106,2,7.2915
-104,2,7.29232
-102,2,7.29306
-100,2,7.29374
-98,2,7.29433
-96,2,7.29486
-94,2,7.29531
-92,2,7.29568
-90,2,7.29597
-88,2,7.29619
-86,2,7.29634
-84,2,7.2964
-82,2,7.29639
-80,2,7.29631
-78,2,7.29614
-76,2,7.29591
-74,2,7.29559
-72,2,7.2952
-70,2,7.29474
-68,2,7.2942
-66,2,7.29359
-64,2,7.29291
-62,2,7.29215
-60,2,7.29133
-58,2,7.29043
-56,2,7.28947
-54,2,7.28844
-52,2,7.28735
-50,2,7.28619
-48,2,7.28496
-46,2,7.28368
-44,2,7.28234
-42,2,7.28093
-40,2,7.27947
-38,2,7.27796
-36,2,7.27639
-34,2,7.27478
-32,2,7.27311
-30,2,7.2714
-28,2,7.26964
-26,2,7.26783
-24,2,7.26599
-22,2,7.26411
-20,2,7.26219
-18,2,7.26024
-16,2,7.25825
-14,2,7.25624
-12,2,7.25419
-10,2,7.25213
-8,2,7.25004
-6,2,7.24792
-4,2,7.2458
-2,2,7.24365
0,2,7.24149
2,2,7.23933
4,2,7.23715
6,2,7.23497
8,2,7.23279
10,2,7.23061
12,2,7.22842
14,2,7.22625
16,2,7.22408
18,2,7.22192
20,2,7.21977
22,2,7.21764
24,2,7.21553
26,2,7.21343
28,2,7.21136
30,2,7.20931
32,2,7.20729
34,2,7.2053
36,2,7.20335
38,2,7.20142
40,2,7.19954
42,2,7.19769
44,2,7.19588
46,2,7.19412
48,2,7.1924
50,2,7.19073
52,2,7.18911
54,2,7.18755
56,2,7.18603
58,2,7.18458
60,2,7.18318
62,2,7.18184
64,2,7.18056
66,2,7.17934
68,2,7.17819
70,2,7.1771
72,2,7.17608
74,2,7.17513
76,2,7.17425
78,2,7.17344
80,2,7.1727
82,2,7.17203
84,2,7.17144
86,2,7.17093
88,2,7.17049
90,2,7.17012
92,2,7.16984
94,2,7.16963
96,2,7.1695
98,2,7.16944
100,2,7.16947
102,2,7.16957
104,2,7.16975
106,2,7.17001
108,2,7.17035
110,2,7.17076
112,2,7.17125
114,2,7.17182
116,2,7.17247
118,2,7.17319
120,2,7.17398
122,2,7.17485
124,2,7.17579
126,2,7.17681
128,2,7.17789
130,2,7.17904
132,2,7.18026
134,2,7.18155
136,2,7.1829
138,2,7.18431
140,2,7.18579
142,2,7.18732
144,2,7.18891
146,2,7.19056
148,2,7.19226
150,2,7.19401
152,2,7.19582
154,2,7.19766
156,2,7.19956
158,2,7.20149
160,2,7.20346
162,2,7.20548
164,2,7.20752
166,2,7.2096
168,2,7.21171
170,2,7.21384
172,2,7.216
174,2,7.21818
176,2,7.22038
178,2,7.22259
180,2,7.22481
-180,4,7.18756
-178,4,7.19204
-176,4,7.19653
-174,4,7.20104
-172,4,7.20554
-170,4,7.21003
-168,4,7.21452
-166,4,7.21899
-164,4,7.22343
-162,4,7.22784
-160,4,7.23223
-158,4,7.23656
-156,4,7.24086
-154,4,7.2451
-152,4,7.24928
-150,4,7.25341
-148,4,7.25746
-146,4,7.26144
-144,4,7.26534
-142,4,7.26916
-140,4,7.27289
-138,4,7.27653
-136,4,7.28008
-134,4,7.28352
-132,4,7.28686
-130,4,7.29008
-128,4,7.2932
-126,4,7.2962
-124,4,7.29908
-122,4,7.30184
-120,4,7.30447
-118,4,7.30697
-116,4,7.30934
-114,4,7.31157
-112,4,7.31367
-110,4,7.31563
-108,4,7.31745
-106,4,7.31913
-104,4,7.32066
-102,4,7.32205
-100,4,7.32329
-98,4,7.32438
-96,4,7.32533
-94,4,7.32612
-92,4,7.32677
-90,4,7.32726
-88,4,7.3276
-86,4,7.3278
-84,4,7.32784
-82,4,7.32773
-80,4,7.32747
-78,4,7.32707
-76,4,7.32651
-74,4,7.32581
-72,4,7.32496
-70,4,7.32397
-68,4,7.32283
-66,4,7.32155
-64,4,7.32014
-62,4,7.31858
-60,4,7.31689
-58,4,7.31506
-56,4,7.31311
-54,4,7.31102
-52,4,7.30882
-50,4,7.30648
-48,4,7.30403
-46,4,7.30146
-44,4,7.29878
-42,4,7.29599
-40,4,7.29309
-38,4,7.29009
-36,4,7.28698
-34,4,7.28379
-32,4,7.2805
-30,4,7.27712
-28,4,7.27366
-26,4,7.27011
-24,4,7.2665
-22,4,7.26281
-20,4,7.25905
-18,4,7.25523
-16,4,7.25135
-14,4,7.24742
-12,4,7.24343
-10,4,7.2394
-8,4,7.23533
-6,4,7.23122
-4,4,7.22708
-2,4,7.22292
0,4,7.21872
2,4,7.21451
4,4,7.21029
6,4,7.20605
8,4,7.20182
10,4,7.19758
12,4,7.19334
14,4,7.18911
16,4,7.1849
18,4,7.18071
20,4,7.17654
22,4,7.17239
24,4,7.16828
26,4,7.1642
28,4,7.16017
30,4,7.15618
32,4,7.15225
34,4,7.14836
36,4,7.14454
38,4,7.14078
40,4,7.1371
42,4,7.13348
44,4,7.12994
46,4,7.12649
48,4,7.12312
50,4,7.11984
52,4,7.11665
54,4,7.11356
56,4,7.11058
58,4,7.1077
60,4,7.10494
62,4,7.10228
64,4,7.09975
66,4,7.09733
68,4,7.09504
70,4,7.09288
72,4,7.09084
74,4,7.08894
76,4,7.08718
78,4,7.08555
80,4,7.08407
82,4,7.08273
84,4,7.08153
86,4,7.08048
88,4,7.07958
90,4,7.07883
92,4,7.07823
94,4,7.07778
96,4,7.07749
98,4,7.07735
100,4,7.07737
102,4,7.07754
104,4,7.07787
106,4,7.07835
108,4,7.07899
110,4,7.07979
112,4,7.08073
114,4,7.08184
116,4,7.08309
118,4,7.0845
120,4,7.08606
122,4,7.08776
124,4,7.08961
126,4,7.09161
128,4,7.09375
130,4,7.09603
132,4,7.09844
134,4,7.10099
136,4,7.10367
138,4,7.10648
140,4,7.10942
142,4,7.11247
144,4,7.11565
146,4,7.11893
148,4,7.12233
150,4,7.12583
152,4,7.12943
154,4,7.13313
156,4,7.13692
158,4,7.14079
160,4,7.14474
162,4,7.14878
164,4,7.15288
166,4,7.15704
168,4,7.16127
170,4,7.16555
172,4,7.16988
174,4,7.17425
176,4,7.17866
178,4,7.1831
180,4,7.18756
-180,6,7.13209
-178,6,7.13877
-176,6,7.14547
-174,6,7.15218
-172,6,7.15889
-170,6,7.1656
-168,6,7.17228
-166,6,7.17893
-164,6,7.18554
-162,6,7.19211
-160,6,7.19862
-158,6,7.20506
-156,6,7.21143
-154,6,7.21772
-152,6,7.22391
-150,6,7.23001
-148,6,7.236
-146,6,7.24187
-144,6,7.24762
-142,6,7.25324
-140,6,7.25872
-138,6,7.26405
-136,6,7.26924
-134,6,7.27427
-132,6,7.27913
-130,6,7.28383
-128,6,7.28835
-126,6,7.29269
-124,6,7.29685
-122,6,7.30082
-120,6,7.30459
-118,6,7.30817
-116,6,7.31155
-114,6,7.31473
-112,6,7.3177
-110,6,7.32046
-108,6,7.323
-106,6,7.32534
-104,6,7.32746
-102,6,7.32936
-100,6,7.33104
-98,6,7.33251
-96,6,7.33375
-94,6,7.33477
-92,6,7.33557
-90,6,7.33615
-88,6,7.3365
-86,6,7.33664
-84,6,7.33655
-82,6,7.33624
-80,6,7.33571
-78,6,7.33496
-76,6,7.334
-74,6,7.33282
-72,6,7.33143
-70,6,7.32982
-68,6,7.32801
-66,6,7.32599
-64,6,7.32376
-62,6,7.32134
-60,6,7.31872
-58,6,7.3159
-56,6,7.3129
-54,6,7.30971
-52,6,7.30634
-50,6,7.30279
-48,6,7.29907
-46,6,7.29519
-44,6,7.29114
-42,6,7.28694
-40,6,7.28259
-38,6,7.2781
-36,6,7.27347
-34,6,7.26871
-32,6,7.26382
-30,6,7.25881
-28,6,7.25368
-26,6,7.24846
